batch,K,mask,outcome,seamless,last_boundary_wait_cycles,note
682,3,7f,ok,0,1,
683,3,00,ok,0,23450,
684,3,fe,ok,0,1,
685,3,7f,ok,0,1,
686,3,00,ok,0,23516,
687,3,fe,ok,0,1,
688,3,7f,ok,0,1,
689,3,00,ok,0,23436,
690,3,fe,ok,0,1,
691,3,7f,ok,0,1,
692,3,00,ok,0,23501,
693,3,fe,ok,0,1,
694,3,7f,ok,0,1,
695,3,00,ok,0,23449,
696,3,fe,ok,0,1,
697,3,7f,ok,0,1,
698,3,00,ok,0,23454,
699,3,fe,ok,0,1,
700,3,7f,ok,0,1,
701,3,00,ok,0,23495,
702,3,fe,ok,0,1,
703,3,7f,ok,0,1,
704,3,00,ok,0,23448,
705,3,fe,ok,0,1,
706,3,7f,ok,0,1,
707,3,00,ok,0,23453,
708,3,fe,ok,0,1,
709,3,7f,ok,0,1,
710,3,00,ok,0,23352,
711,3,fe,ok,0,1,
712,3,7f,ok,0,1,
713,3,00,ok,0,23164,
714,3,fe,ok,0,1,
715,3,7f,ok,0,1,
716,3,00,ok,0,23207,
717,3,fe,ok,0,1,
718,3,7f,ok,0,1,
719,3,00,ok,0,23503,
720,3,fe,ok,0,1,
721,3,7f,ok,0,1,
722,3,00,ok,0,23437,
723,3,fe,ok,0,1,
724,3,7f,ok,0,1,
725,3,00,ok,0,23501,
726,3,fe,ok,0,1,
727,3,7f,ok,0,1,
728,3,00,ok,0,23476,
729,3,fe,ok,0,1,
730,3,7f,ok,0,1,
731,3,00,ok,0,23465,
732,3,fe,ok,0,1,
733,3,7f,ok,0,1,
734,3,00,ok,0,23326,
735,3,fe,ok,0,1,
736,3,7f,ok,0,1,
737,3,00,ok,0,23419,
738,3,fe,ok,0,1,
739,3,7f,ok,0,1,
740,3,00,ok,0,23504,
741,3,fe,ok,0,1,
742,3,7f,ok,0,1,
743,3,00,ok,0,23173,
744,3,fe,ok,0,1,
745,3,7f,ok,0,1,
746,3,00,ok,0,23449,
747,3,fe,ok,0,1,
748,3,7f,ok,0,1,
749,3,00,ok,0,23484,
750,3,fe,ok,0,1,
751,3,7f,ok,0,1,
752,3,00,ok,0,23352,
753,3,fe,ok,0,1,
754,3,7f,ok,0,1,
755,3,00,ok,0,23497,
756,3,fe,ok,0,1,
757,3,7f,ok,0,1,
758,3,00,ok,0,23383,
759,3,fe,ok,0,1,
760,3,7f,ok,0,1,
761,3,00,ok,0,23531,
762,3,fe,ok,0,1,
763,3,7f,ok,0,1,
764,3,00,ok,0,23164,
765,3,fe,ok,0,1,
766,3,7f,ok,0,1,
767,3,00,ok,0,23510,
