idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
8,QFT 4Q,4,500,9,450,100,0.228,0.922,0.17,0.0,1
8,QFT 4Q,4,500,10,500,100,0.224,0.916,0.168,0.0,1
14,VQE BeH2 14Q,14,4096,3,1227,409,0.98,0.001,0.973,1.0,0
14,VQE BeH2 14Q,14,4096,4,1636,409,0.979,0.002,0.974,1.0,0
14,VQE BeH2 14Q,14,4096,5,2045,409,0.979,0.002,0.974,1.0,0
14,VQE BeH2 14Q,14,4096,6,2454,409,0.978,0.003,0.974,1.0,0
14,VQE BeH2 14Q,14,4096,7,2863,409,0.979,0.003,0.973,1.0,0
14,VQE BeH2 14Q,14,4096,8,3272,409,0.978,0.003,0.973,1.0,0
14,VQE BeH2 14Q,14,4096,9,3681,409,0.978,0.004,0.973,1.0,0
14,VQE BeH2 14Q,14,4096,10,4096,409,0.978,0.004,0.973,1.0,0
15,Shor N=15 5Q,5,1000,3,300,100,0.153,0.968,0.08,0.0,1
15,Shor N=15 5Q,5,1000,4,400,100,0.15,0.97,0.078,0.0,1
15,Shor N=15 5Q,5,1000,5,500,100,0.136,0.975,0.078,0.0,1
15,Shor N=15 5Q,5,1000,6,600,100,0.13,0.979,0.073,0.0,1
15,Shor N=15 5Q,5,1000,7,700,100,0.12,0.979,0.073,0.0,1
15,Shor N=15 5Q,5,1000,8,800,100,0.136,0.975,0.068,0.0,1
15,Shor N=15 5Q,5,1000,9,900,100,0.124,0.979,0.063,0.0,1
15,Shor N=15 5Q,5,1000,10,1000,100,0.125,0.98,0.069,0.0,1
16,QAOA 2Q p=1,2,1000,3,300,100,0.153,0.968,0.08,0.0,1
16,QAOA 2Q p=1,2,1000,4,400,100,0.15,0.97,0.078,0.0,1
16,QAOA 2Q p=1,2,1000,5,500,100,0.136,0.975,0.078,0.0,1
16,QAOA 2Q p=1,2,1000,6,600,100,0.13,0.979,0.073,0.0,1
