idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
8,FakeLagosV2,0,7,350,0.19,0.9346,0.0167,0.009
8,FakeLagosV2,0,8,400,0.185,0.9395,0.005,0.005
8,FakeLagosV2,0,9,450,0.2011,0.9302,0.0161,0.0094
8,FakeLagosV2,0,10,500,0.2,0.9286,0.0011,0.0016
8,FakeLagosV2,1,1,50,0.17,0.9547,1.0,1.0
8,FakeLagosV2,1,2,100,0.09,0.9856,0.08,0.0308
8,FakeLagosV2,1,3,150,0.0933,0.982,0.0033,0.0036
8,FakeLagosV2,1,4,200,0.1,0.982,0.0067,0.0
8,FakeLagosV2,1,5,250,0.104,0.9813,0.004,0.0007
8,FakeLagosV2,1,6,300,0.1133,0.9774,0.0093,0.0039
8,FakeLagosV2,1,7,350,0.1357,0.9706,0.0224,0.0069
8,FakeLagosV2,1,8,400,0.135,0.969,0.0007,0.0016
8,FakeLagosV2,1,9,450,0.1367,0.9687,0.0017,0.0002
8,FakeLagosV2,1,10,500,0.136,0.9697,0.0007,0.001
8,FakeLagosV2,2,1,50,0.22,0.8719,1.0,1.0
8,FakeLagosV2,2,2,100,0.22,0.8937,0.0,0.0218
8,FakeLagosV2,2,3,150,0.2,0.9182,0.02,0.0246
8,FakeLagosV2,2,4,200,0.175,0.9368,0.025,0.0185
8,FakeLagosV2,2,5,250,0.194,0.9271,0.019,0.0097
8,FakeLagosV2,2,6,300,0.1967,0.919,0.0027,0.0081
8,FakeLagosV2,2,7,350,0.1929,0.92,0.0038,0.001
8,FakeLagosV2,2,8,400,0.195,0.9188,0.0021,0.0012
8,FakeLagosV2,2,9,450,0.1889,0.9224,0.0061,0.0036
8,FakeLagosV2,2,10,500,0.176,0.9285,0.0129,0.0061
8,FakeLagosV2,3,1,50,0.32,0.8452,1.0,1.0
8,FakeLagosV2,3,2,100,0.25,0.9001,0.07,0.0549
8,FakeLagosV2,3,3,150,0.22,0.9056,0.03,0.0055
8,FakeLagosV2,3,4,200,0.24,0.8859,0.02,0.0197
8,FakeLagosV2,3,5,250,0.256,0.8865,0.016,0.0006
8,FakeLagosV2,3,6,300,0.2567,0.8915,0.0007,0.005
8,FakeLagosV2,3,7,350,0.2443,0.893,0.0124,0.0015
8,FakeLagosV2,3,8,400,0.24,0.8938,0.0043,0.0008
8,FakeLagosV2,3,9,450,0.2322,0.8988,0.0078,0.005
8,FakeLagosV2,3,10,500,0.236,0.9,0.0038,0.0012
8,FakeLagosV2,4,1,50,0.2,0.932,1.0,1.0
8,FakeLagosV2,4,2,100,0.2,0.939,0.0,0.0071
8,FakeLagosV2,4,3,150,0.1733,0.9563,0.0267,0.0172
8,FakeLagosV2,4,4,200,0.19,0.9489,0.0167,0.0073
8,FakeLagosV2,4,5,250,0.196,0.9469,0.006,0.0021
8,FakeLagosV2,4,6,300,0.1833,0.9548,0.0127,0.0079
8,FakeLagosV2,4,7,350,0.1886,0.9529,0.0052,0.0018
8,FakeLagosV2,4,8,400,0.1725,0.9589,0.0161,0.006
8,FakeLagosV2,4,9,450,0.16,0.9668,0.0125,0.0079
8,FakeLagosV2,4,10,500,0.158,0.9665,0.002,0.0003
8,FakeLagosV2,5,1,50,0.15,0.9552,1.0,1.0
8,FakeLagosV2,5,2,100,0.17,0.9463,0.02,0.0089
8,FakeLagosV2,5,3,150,0.1733,0.9474,0.0033,0.001
8,FakeLagosV2,5,4,200,0.135,0.97,0.0383,0.0226
8,FakeLagosV2,5,5,250,0.118,0.9744,0.017,0.0044
8,FakeLagosV2,5,6,300,0.0967,0.9817,0.0213,0.0073
8,FakeLagosV2,5,7,350,0.1157,0.9771,0.019,0.0046
8,FakeLagosV2,5,8,400,0.115,0.9814,0.0007,0.0043
8,FakeLagosV2,5,9,450,0.1122,0.9828,0.0028,0.0013
8,FakeLagosV2,5,10,500,0.112,0.9829,0.0002,0.0001
8,FakeLagosV2,6,1,50,0.31,0.8681,1.0,1.0
8,FakeLagosV2,6,2,100,0.24,0.9101,0.07,0.0419
8,FakeLagosV2,6,3,150,0.2067,0.939,0.0333,0.029
8,FakeLagosV2,6,4,200,0.2,0.9383,0.0067,0.0008
8,FakeLagosV2,6,5,250,0.19,0.9432,0.01,0.0049
8,FakeLagosV2,6,6,300,0.1967,0.945,0.0067,0.0018
8,FakeLagosV2,6,7,350,0.19,0.9481,0.0067,0.0031
8,FakeLagosV2,6,8,400,0.19,0.9483,0.0,0.0002
8,FakeLagosV2,6,9,450,0.1967,0.9467,0.0067,0.0015
8,FakeLagosV2,6,10,500,0.178,0.9537,0.0187,0.0069
8,FakeLagosV2,7,1,50,0.32,0.8017,1.0,1.0
8,FakeLagosV2,7,2,100,0.29,0.8644,0.03,0.0626
8,FakeLagosV2,7,3,150,0.2567,0.8892,0.0333,0.0248
8,FakeLagosV2,7,4,200,0.245,0.8993,0.0117,0.0101
8,FakeLagosV2,7,5,250,0.22,0.9123,0.025,0.013
8,FakeLagosV2,7,6,300,0.23,0.9043,0.01,0.008
8,FakeLagosV2,7,7,350,0.2214,0.9142,0.0086,0.0099
8,FakeLagosV2,7,8,400,0.2175,0.9213,0.0039,0.0071
8,FakeLagosV2,7,9,450,0.2244,0.9168,0.0069,0.0045
8,FakeLagosV2,7,10,500,0.226,0.9146,0.0016,0.0022
8,FakeLagosV2,8,1,50,0.27,0.8385,1.0,1.0
