idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
2,FakeAlgiers,8,10,8192,0.0287,0.9712,0.0009,0.0009
2,FakeAlgiers,9,1,819,0.0317,0.9682,1.0,1.0
2,FakeAlgiers,9,2,1638,0.0317,0.9698,0.0,0.0016
2,FakeAlgiers,9,3,2457,0.0297,0.9702,0.002,0.0004
2,FakeAlgiers,9,4,3276,0.0321,0.9679,0.0023,0.0022
2,FakeAlgiers,9,5,4095,0.033,0.967,0.0009,0.0009
2,FakeAlgiers,9,6,4914,0.0346,0.9654,0.0016,0.0016
2,FakeAlgiers,9,7,5733,0.0347,0.9653,0.0001,0.0001
2,FakeAlgiers,9,8,6552,0.0351,0.9649,0.0004,0.0004
2,FakeAlgiers,9,9,7371,0.0353,0.9647,0.0002,0.0002
2,FakeAlgiers,9,10,8192,0.0349,0.9651,0.0004,0.0004
2,FakeAlgiers,10,1,819,0.0305,0.9695,1.0,1.0
2,FakeAlgiers,10,2,1638,0.0311,0.9688,0.0006,0.0006
2,FakeAlgiers,10,3,2457,0.033,0.967,0.0018,0.0018
2,FakeAlgiers,10,4,3276,0.0314,0.9686,0.0015,0.0015
2,FakeAlgiers,10,5,4095,0.031,0.969,0.0004,0.0004
2,FakeAlgiers,10,6,4914,0.0309,0.969,0.0001,0.0001
2,FakeAlgiers,10,7,5733,0.0309,0.9691,0.0001,0.0
2,FakeAlgiers,10,8,6552,0.0302,0.9697,0.0007,0.0007
2,FakeAlgiers,10,9,7371,0.032,0.968,0.0018,0.0018
2,FakeAlgiers,10,10,8192,0.0316,0.9683,0.0004,0.0004
2,FakeAlgiers,11,1,819,0.0354,0.9646,1.0,1.0
2,FakeAlgiers,11,2,1638,0.0366,0.9634,0.0012,0.0012
2,FakeAlgiers,11,3,2457,0.0366,0.9634,0.0,0.0
2,FakeAlgiers,11,4,3276,0.036,0.964,0.0006,0.0006
2,FakeAlgiers,11,5,4095,0.0342,0.9658,0.0018,0.0018
2,FakeAlgiers,11,6,4914,0.034,0.966,0.0002,0.0002
2,FakeAlgiers,11,7,5733,0.0344,0.9656,0.0004,0.0004
2,FakeAlgiers,11,8,6552,0.0325,0.9675,0.0019,0.0019
2,FakeAlgiers,11,9,7371,0.0341,0.9659,0.0015,0.0015
