idx,backend,seed,checkpoint,shots,tvd,hf,d_tvd,d_hf
1,FakeManilaV2,35,9,22113,0.0611,0.9389,0.0001,0.0001
1,FakeManilaV2,35,10,24576,0.0604,0.9396,0.0007,0.0007
1,FakeManilaV2,36,1,2457,0.0566,0.9431,1.0,1.0
1,FakeManilaV2,36,2,4914,0.0592,0.9407,0.0026,0.0024
1,FakeManilaV2,36,3,7371,0.0592,0.9408,0.0001,0.0001
1,FakeManilaV2,36,4,9828,0.0588,0.9411,0.0003,0.0003
1,FakeManilaV2,36,5,12285,0.0602,0.9397,0.0014,0.0014
1,FakeManilaV2,36,6,14742,0.0602,0.9397,0.0,0.0
1,FakeManilaV2,36,7,17199,0.0606,0.9394,0.0003,0.0003
1,FakeManilaV2,36,8,19656,0.0611,0.9389,0.0005,0.0005
1,FakeManilaV2,36,9,22113,0.0614,0.9386,0.0003,0.0003
1,FakeManilaV2,36,10,24576,0.0617,0.9383,0.0003,0.0003
1,FakeManilaV2,37,1,2457,0.0631,0.9369,1.0,1.0
1,FakeManilaV2,37,2,4914,0.0643,0.9357,0.0012,0.0012
1,FakeManilaV2,37,3,7371,0.0613,0.9387,0.003,0.003
1,FakeManilaV2,37,4,9828,0.0627,0.9373,0.0014,0.0014
1,FakeManilaV2,37,5,12285,0.0618,0.9382,0.0009,0.0009
1,FakeManilaV2,37,6,14742,0.0629,0.937,0.0012,0.0012
1,FakeManilaV2,37,7,17199,0.0633,0.9367,0.0004,0.0004
1,FakeManilaV2,37,8,19656,0.0641,0.9359,0.0007,0.0007
1,FakeManilaV2,37,9,22113,0.0644,0.9356,0.0003,0.0003
1,FakeManilaV2,37,10,24576,0.0636,0.9364,0.0008,0.0008
1,FakeManilaV2,38,1,2457,0.0623,0.9377,1.0,1.0
1,FakeManilaV2,38,2,4914,0.06,0.9399,0.0022,0.0022
1,FakeManilaV2,38,3,7371,0.0619,0.9381,0.0018,0.0018
1,FakeManilaV2,38,4,9828,0.0601,0.9399,0.0017,0.0017
1,FakeManilaV2,38,5,12285,0.0596,0.9404,0.0005,0.0006
1,FakeManilaV2,38,6,14742,0.06,0.9399,0.0004,0.0005
1,FakeManilaV2,38,7,17199,0.0598,0.9401,0.0002,0.0002
1,FakeManilaV2,38,8,19656,0.0602,0.9397,0.0004,0.0004
1,FakeManilaV2,38,9,22113,0.0603,0.9397,0.0,0.0001
1,FakeManilaV2,38,10,24576,0.0595,0.9405,0.0008,0.0008
1,FakeManilaV2,39,1,2457,0.0558,0.9442,1.0,1.0
1,FakeManilaV2,39,2,4914,0.0604,0.9395,0.0047,0.0047
1,FakeManilaV2,39,3,7371,0.0609,0.9391,0.0005,0.0005
