idx,name,n_qubits,shots,checkpoint,n,n_ref,tvd_p95,hf_p05,tvd_median,p_false_fail,evaluable
18,Deutsch-Jozsa 3Q,3,1024,9,918,102,0.036,0.999,0.012,0.0,1
18,Deutsch-Jozsa 3Q,3,1024,10,1024,102,0.032,0.999,0.012,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,3,306,102,0.062,0.996,0.02,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,4,408,102,0.049,0.998,0.02,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,5,510,102,0.045,0.998,0.015,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,6,612,102,0.041,0.998,0.011,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,7,714,102,0.038,0.999,0.011,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,8,816,102,0.037,0.999,0.012,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,9,918,102,0.027,0.999,0.009,0.0,1
19,Bernstein-Vazirani 5Q,5,1024,10,1024,102,0.032,0.999,0.012,0.0,1
20,VQE 1Q eigensolver,1,10000,3,3000,1000,0.017,1.0,0.006,0.0,1
20,VQE 1Q eigensolver,1,10000,4,4000,1000,0.016,1.0,0.005,0.0,1
20,VQE 1Q eigensolver,1,10000,5,5000,1000,0.015,1.0,0.005,0.0,1
20,VQE 1Q eigensolver,1,10000,6,6000,1000,0.013,1.0,0.004,0.0,1
20,VQE 1Q eigensolver,1,10000,7,7000,1000,0.011,1.0,0.004,0.0,1
20,VQE 1Q eigensolver,1,10000,8,8000,1000,0.01,1.0,0.004,0.0,1
20,VQE 1Q eigensolver,1,10000,9,9000,1000,0.011,1.0,0.003,0.0,1
20,VQE 1Q eigensolver,1,10000,10,10000,1000,0.009,1.0,0.003,0.0,1
21,QAOA MaxCut 12Q,12,10000,3,3000,1000,0.404,0.61,0.397,0.0,0
21,QAOA MaxCut 12Q,12,10000,4,4000,1000,0.354,0.684,0.347,0.0,0
21,QAOA MaxCut 12Q,12,10000,5,5000,1000,0.319,0.735,0.313,0.0,0
21,QAOA MaxCut 12Q,12,10000,6,6000,1000,0.293,0.773,0.287,0.0,1
21,QAOA MaxCut 12Q,12,10000,7,7000,1000,0.272,0.803,0.266,0.0,1
21,QAOA MaxCut 12Q,12,10000,8,8000,1000,0.255,0.826,0.25,0.0,1
21,QAOA MaxCut 12Q,12,10000,9,9000,1000,0.242,0.844,0.237,0.0,1
21,QAOA MaxCut 12Q,12,10000,10,10000,1000,0.23,0.859,0.225,0.0,1
22,QML Image Class 14Q,14,400,3,120,100,0.128,0.898,0.089,0.0,1
22,QML Image Class 14Q,14,400,4,160,100,0.118,0.912,0.081,0.0,1
22,QML Image Class 14Q,14,400,5,200,100,0.102,0.925,0.07,0.0,1
22,QML Image Class 14Q,14,400,6,240,100,0.094,0.938,0.067,0.0,1
22,QML Image Class 14Q,14,400,7,280,100,0.085,0.943,0.063,0.0,1
22,QML Image Class 14Q,14,400,8,320,100,0.085,0.947,0.061,0.0,1
22,QML Image Class 14Q,14,400,9,360,100,0.076,0.95,0.057,0.0,1
22,QML Image Class 14Q,14,400,10,400,100,0.073,0.955,0.052,0.0,1
23,VQE SrH PDM 12Q,12,4000,3,1200,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,4,1600,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,5,2000,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,6,2400,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,7,2800,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,8,3200,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,9,3600,400,0.0,1.0,0.0,0.0,1
23,VQE SrH PDM 12Q,12,4000,10,4000,400,0.0,1.0,0.0,0.0,1
24,Grover 6Q,6,1024,3,306,102,0.209,0.915,0.183,0.0,1
24,Grover 6Q,6,1024,4,408,102,0.178,0.941,0.156,0.0,1
24,Grover 6Q,6,1024,5,510,102,0.16,0.957,0.14,0.0,1
24,Grover 6Q,6,1024,6,612,102,0.148,0.965,0.127,0.0,1
24,Grover 6Q,6,1024,7,714,102,0.138,0.969,0.119,0.0,1
24,Grover 6Q,6,1024,8,816,102,0.131,0.973,0.113,0.0,1
24,Grover 6Q,6,1024,9,918,102,0.12,0.976,0.105,0.0,1
24,Grover 6Q,6,1024,10,1024,102,0.112,0.98,0.099,0.0,1
25,QSVM Radar 4Q,4,1024,3,306,102,0.104,0.975,0.076,0.0,1
25,QSVM Radar 4Q,4,1024,4,408,102,0.091,0.984,0.063,0.0,1
25,QSVM Radar 4Q,4,1024,5,510,102,0.083,0.988,0.059,0.0,1
25,QSVM Radar 4Q,4,1024,6,612,102,0.076,0.99,0.053,0.0,1
25,QSVM Radar 4Q,4,1024,7,714,102,0.069,0.991,0.05,0.0,1
25,QSVM Radar 4Q,4,1024,8,816,102,0.065,0.992,0.047,0.0,1
25,QSVM Radar 4Q,4,1024,9,918,102,0.062,0.993,0.044,0.0,1
25,QSVM Radar 4Q,4,1024,10,1024,102,0.058,0.994,0.041,0.0,1
