run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_14q_phys4_start16-c3-phys6_prefill16-r-1-1789951205,c3_14q_phys4_start16,phys6_prefill16,-1,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys6_prefill16-r0-1789951208,c3_14q_phys4_start16,phys6_prefill16,0,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys6_prefill16-r1-1789951211,c3_14q_phys4_start16,phys6_prefill16,1,0,1,0,1,ok
c3_14q_phys4_start16-c3-phys6_prefill16-r2-1789951213,c3_14q_phys4_start16,phys6_prefill16,2,0,1,0,1,ok
scope_phys4_n1-c3-phys4_prefill16-r-1-1789951226,scope_phys4_n1,phys4_prefill16,-1,0,1,0,0,ok
scope_phys4_n1-c3-phys4_prefill16-r0-1789951227,scope_phys4_n1,phys4_prefill16,0,0,1,0,0,ok
scope_phys4_n2-c3-phys4_prefill16-r-1-1789951237,scope_phys4_n2,phys4_prefill16,-1,0,1,0,0,ok
scope_phys4_n2-c3-phys4_prefill16-r0-1789951237,scope_phys4_n2,phys4_prefill16,0,0,1,0,0,ok
scope_phys4_n3-c3-phys4_prefill16-r-1-1789951247,scope_phys4_n3,phys4_prefill16,-1,0,1,0,0,ok
scope_phys4_n3-c3-phys4_prefill16-r0-1789951247,scope_phys4_n3,phys4_prefill16,0,0,1,0,0,ok
scope_phys3_n1-c3-phys3_prefill16-r-1-1789951257,scope_phys3_n1,phys3_prefill16,-1,0,1,0,0,ok
scope_phys3_n1-c3-phys3_prefill16-r0-1789951357,scope_phys3_n1,phys3_prefill16,0,0,1,0,0,ok
scope_phys5_n1-c3-phys5_prefill16-r-1-1789951467,scope_phys5_n1,phys5_prefill16,-1,0,1,0,1,ok
scope_phys5_n1-c3-phys5_prefill16-r0-1789951468,scope_phys5_n1,phys5_prefill16,0,0,1,0,1,ok
scope_phys5_n2-c3-phys5_prefill16-r-1-1789951480,scope_phys5_n2,phys5_prefill16,-1,0,1,0,1,ok
scope_phys5_n2-c3-phys5_prefill16-r0-1789951481,scope_phys5_n2,phys5_prefill16,0,0,1,0,1,ok
scope_phys5_n3-c3-phys5_prefill16-r-1-1789951493,scope_phys5_n3,phys5_prefill16,-1,0,1,0,1,ok
scope_phys5_n3-c3-phys5_prefill16-r0-1789951494,scope_phys5_n3,phys5_prefill16,0,0,1,0,1,ok
c3_14q_re1-c3-1-r-1-1789951498,c3_14q_re1,1,-1,0,1,0,0,ok
c3_14q_re1-c3-1-r0-1789951498,c3_14q_re1,1,0,0,1,0,0,ok
c3_14q_re1-c3-1-r1-1789951498,c3_14q_re1,1,1,0,1,0,0,ok
c3_14q_re1-c3-1-r2-1789951499,c3_14q_re1,1,2,0,1,0,0,ok
c3_14q_re1-c3-1-r3-1789951499,c3_14q_re1,1,3,0,1,0,0,ok
c3_14q_re1-c3-1-r4-1789951499,c3_14q_re1,1,4,0,1,0,0,ok
c3_14q_re1-c3-2-r-1-1789951500,c3_14q_re1,2,-1,0,1,0,0,ok
c3_14q_re1-c3-2-r0-1789951500,c3_14q_re1,2,0,0,1,0,0,ok
c3_14q_re1-c3-2-r1-1789951500,c3_14q_re1,2,1,0,1,0,0,ok
c3_14q_re1-c3-2-r2-1789951500,c3_14q_re1,2,2,0,1,0,0,ok
c3_14q_re1-c3-2-r3-1789951500,c3_14q_re1,2,3,0,1,0,0,ok
c3_14q_re1-c3-2-r4-1789951501,c3_14q_re1,2,4,0,1,0,0,ok
c3_14q_re1-c3-3-r-1-1789951501,c3_14q_re1,3,-1,0,1,0,0,ok
c3_14q_re1-c3-3-r0-1789951501,c3_14q_re1,3,0,0,1,0,0,ok
c3_14q_re1-c3-3-r1-1789951501,c3_14q_re1,3,1,0,1,0,0,ok
c3_14q_re1-c3-3-r2-1789951501,c3_14q_re1,3,2,0,1,0,0,ok
c3_14q_re1-c3-3-r3-1789951501,c3_14q_re1,3,3,0,1,0,0,ok
c3_14q_re1-c3-3-r4-1789951501,c3_14q_re1,3,4,0,1,0,0,ok
c3_14q_re1-c3-4-r-1-1789951501,c3_14q_re1,4,-1,0,1,0,0,ok
c3_14q_re1-c3-4-r0-1789951502,c3_14q_re1,4,0,0,1,0,0,ok
c3_14q_re1-c3-4-r1-1789951502,c3_14q_re1,4,1,0,1,0,0,ok
c3_14q_re1-c3-4-r2-1789951502,c3_14q_re1,4,2,0,1,0,0,ok
c3_14q_re1-c3-4-r3-1789951502,c3_14q_re1,4,3,0,1,0,0,ok
c3_14q_re1-c3-4-r4-1789951502,c3_14q_re1,4,4,0,1,0,0,ok
c3_14q_re1-c3-5-r-1-1789951502,c3_14q_re1,5,-1,0,1,0,0,ok
c3_14q_re1-c3-5-r0-1789951502,c3_14q_re1,5,0,0,1,0,0,ok
c3_14q_re1-c3-5-r1-1789951502,c3_14q_re1,5,1,0,1,0,0,ok
c3_14q_re1-c3-5-r2-1789951502,c3_14q_re1,5,2,0,1,0,0,ok
c3_14q_re1-c3-5-r3-1789951503,c3_14q_re1,5,3,0,1,0,0,ok
c3_14q_re1-c3-5-r4-1789951503,c3_14q_re1,5,4,0,1,0,0,ok
c3_14q_re1-c3-6-r-1-1789951503,c3_14q_re1,6,-1,0,1,0,0,ok
c3_14q_re1-c3-6-r0-1789951503,c3_14q_re1,6,0,0,1,0,0,ok
c3_14q_re1-c3-6-r1-1789951503,c3_14q_re1,6,1,0,1,0,0,ok
c3_14q_re1-c3-6-r2-1789951503,c3_14q_re1,6,2,0,1,0,0,ok
c3_14q_re1-c3-6-r3-1789951503,c3_14q_re1,6,3,0,1,0,0,ok
c3_14q_re1-c3-6-r4-1789951504,c3_14q_re1,6,4,0,1,0,0,ok
c3_14q_re1-c3-7-r-1-1789951504,c3_14q_re1,7,-1,0,1,0,0,ok
c3_14q_re1-c3-7-r0-1789951504,c3_14q_re1,7,0,0,1,0,0,ok
c3_14q_re1-c3-7-r1-1789951504,c3_14q_re1,7,1,0,1,0,0,ok
c3_14q_re1-c3-7-r2-1789951505,c3_14q_re1,7,2,0,1,0,0,ok
c3_14q_re1-c3-7-r3-1789951505,c3_14q_re1,7,3,0,1,0,0,ok
c3_14q_re1-c3-7-r4-1789951505,c3_14q_re1,7,4,0,1,0,0,ok
c3_14q_re1-c3-8-r-1-1789951505,c3_14q_re1,8,-1,0,1,0,0,ok
c3_14q_re1-c3-8-r0-1789951506,c3_14q_re1,8,0,0,1,0,0,ok
c3_14q_re1-c3-8-r1-1789951506,c3_14q_re1,8,1,0,1,0,0,ok
c3_14q_re1-c3-8-r2-1789951506,c3_14q_re1,8,2,0,1,0,0,ok
c3_14q_re1-c3-8-r3-1789951506,c3_14q_re1,8,3,0,1,0,0,ok
c3_14q_re1-c3-8-r4-1789951506,c3_14q_re1,8,4,0,1,0,0,ok
c3_14q_re1-c3-9-r-1-1789951507,c3_14q_re1,9,-1,0,1,0,0,ok
c3_14q_re1-c3-9-r0-1789951507,c3_14q_re1,9,0,0,1,0,0,ok
c3_14q_re1-c3-9-r1-1789951507,c3_14q_re1,9,1,0,1,0,0,ok
c3_14q_re1-c3-9-r2-1789951507,c3_14q_re1,9,2,0,1,0,0,ok
c3_14q_re1-c3-9-r3-1789951508,c3_14q_re1,9,3,0,1,0,0,ok
c3_14q_re1-c3-9-r4-1789951508,c3_14q_re1,9,4,0,1,0,0,ok
c3_14q_re1-c3-10-r-1-1789951508,c3_14q_re1,10,-1,0,1,0,0,ok
c3_14q_re1-c3-10-r0-1789951509,c3_14q_re1,10,0,0,1,0,0,ok
c3_14q_re1-c3-10-r1-1789951509,c3_14q_re1,10,1,0,1,0,0,ok
c3_14q_re1-c3-10-r2-1789951509,c3_14q_re1,10,2,0,1,0,0,ok
c3_14q_re1-c3-10-r3-1789951509,c3_14q_re1,10,3,0,1,0,0,ok
c3_14q_re1-c3-10-r4-1789951510,c3_14q_re1,10,4,0,1,0,0,ok
c3_14q_re1-c3-11-r-1-1789951510,c3_14q_re1,11,-1,0,1,0,0,ok
c3_14q_re1-c3-11-r0-1789951510,c3_14q_re1,11,0,0,1,0,0,ok
c3_14q_re1-c3-11-r1-1789951511,c3_14q_re1,11,1,0,1,0,0,ok
c3_14q_re1-c3-11-r2-1789951511,c3_14q_re1,11,2,0,1,0,0,ok
c3_14q_re1-c3-11-r3-1789951511,c3_14q_re1,11,3,0,1,0,0,ok
c3_14q_re1-c3-11-r4-1789951511,c3_14q_re1,11,4,0,1,0,0,ok
c3_14q_re1-c3-12-r-1-1789951511,c3_14q_re1,12,-1,0,1,0,0,ok
c3_14q_re1-c3-12-r0-1789951511,c3_14q_re1,12,0,0,1,0,0,ok
c3_14q_re1-c3-12-r1-1789951512,c3_14q_re1,12,1,0,1,0,0,ok
c3_14q_re1-c3-12-r2-1789951512,c3_14q_re1,12,2,0,1,0,0,ok
c3_14q_re1-c3-12-r3-1789951512,c3_14q_re1,12,3,0,1,0,0,ok
c3_14q_re1-c3-12-r4-1789951512,c3_14q_re1,12,4,0,1,0,0,ok
c3_14q_re1-c3-13-r-1-1789951512,c3_14q_re1,13,-1,0,1,0,0,ok
c3_14q_re1-c3-13-r0-1789951512,c3_14q_re1,13,0,0,1,0,0,ok
c3_14q_re1-c3-13-r1-1789951512,c3_14q_re1,13,1,0,1,0,0,ok
c3_14q_re1-c3-13-r2-1789951512,c3_14q_re1,13,2,0,1,0,0,ok
c3_14q_re1-c3-13-r3-1789951513,c3_14q_re1,13,3,0,1,0,0,ok
c3_14q_re1-c3-13-r4-1789951513,c3_14q_re1,13,4,0,1,0,0,ok
c3_14q_re1-c3-19-r-1-1789951513,c3_14q_re1,19,-1,0,1,0,0,ok
c3_14q_re1-c3-19-r0-1789951514,c3_14q_re1,19,0,0,1,0,0,ok
c3_14q_re1-c3-19-r1-1789951514,c3_14q_re1,19,1,0,1,0,0,ok
c3_14q_re1-c3-19-r2-1789951515,c3_14q_re1,19,2,0,1,0,0,ok
c3_14q_re1-c3-19-r3-1789951516,c3_14q_re1,19,3,0,1,0,0,ok
c3_14q_re1-c3-19-r4-1789951516,c3_14q_re1,19,4,0,1,0,0,ok
c3_14q_re1-c3-20-r-1-1789951517,c3_14q_re1,20,-1,0,1,0,0,ok
