wall_time,bitfile,software_commit,idx,name,per_shot_compiled_us,repeat,shots,elapsed_ms
2026-09-24T00:19:11,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,-1,100,3.335144
2026-09-24T00:19:11,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,0,100,3.310333
2026-09-24T00:19:12,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,0,50100,458.773758
2026-09-24T00:19:12,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,1,100,3.304023
2026-09-24T00:19:12,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,1,50100,458.848559
2026-09-24T00:19:12,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,2,100,3.315923
2026-09-24T00:19:13,build_0071783e_20260829023649,7de69de,4,QAOA 2Q p=1,8.9400,2,50100,458.813109
2026-09-24T00:19:13,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,-1,100,4.398474
2026-09-24T00:19:13,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,0,100,4.423204
2026-09-24T00:19:14,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,0,50100,737.373115
2026-09-24T00:19:14,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,1,100,4.401424
2026-09-24T00:19:15,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,1,50100,736.413445
2026-09-24T00:19:15,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,2,100,4.396724
2026-09-24T00:19:16,build_0071783e_20260829023649,7de69de,5,Quantum teleportation 3Q,14.4960,2,50100,737.374255
2026-09-24T00:19:16,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,-1,100,4.401194
2026-09-24T00:19:16,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,0,100,4.382144
2026-09-24T00:19:16,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,0,50100,614.686608
2026-09-24T00:19:17,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,1,100,4.376684
2026-09-24T00:19:17,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,1,50100,614.523316
2026-09-24T00:19:17,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,2,100,4.381234
2026-09-24T00:19:18,build_0071783e_20260829023649,7de69de,6,Deutsch-Jozsa 3Q,12.0620,2,50100,614.461376
2026-09-24T00:19:18,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,-1,100,4.408534
2026-09-24T00:19:18,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,0,100,4.403334
2026-09-24T00:19:19,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,0,50100,754.297724
2026-09-24T00:19:19,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,1,100,4.385264
2026-09-24T00:19:20,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,1,50100,754.346045
2026-09-24T00:19:20,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,2,100,4.387994
2026-09-24T00:19:21,build_0071783e_20260829023649,7de69de,7,GHZ-4,14.8440,2,50100,754.353215
2026-09-24T00:19:21,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,-1,100,4.453424
2026-09-24T00:19:21,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,0,100,4.426094
2026-09-24T00:19:22,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,0,50100,911.149132
2026-09-24T00:19:22,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,1,100,4.439734
2026-09-24T00:19:23,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,1,50100,911.125083
2026-09-24T00:19:23,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,2,100,4.435875
2026-09-24T00:19:24,build_0071783e_20260829023649,7de69de,8,GHZ-5,17.9740,2,50100,911.122513
2026-09-24T00:19:24,build_0071783e_20260829023649,7de69de,9,GHZ-6,21.1040,-1,100,2.356744
