mode,workload,workload_id,population,sur_n,sur_mean_ms,sur_sd_ms,sur_qpu_ms,real_n,real_mean_ms,real_sd_ms,real_qpu_ms,n_groups,diff_ms,ci95_lo_ms,ci95_hi_ms,welch_df,margin_ms,verdict
std,batch,rand30_t7,descriptive,5,5027.0052,0.6525,4041.6025,5,6211.3066,1.0269,4041.8606,1,1184.3014,1183.0146,1185.5882,6.8,40.4186,
std,batch,rand30_t8,descriptive,5,3142.9158,0.3954,2491.8088,5,4012.4586,0.4967,2492.0956,1,869.5428,868.8881,870.1975,7.6,24.9210,
std,batch,rand30_t9,descriptive,5,2641.3879,1.3915,2079.5475,5,3401.8107,0.8051,2079.8393,1,760.4228,758.6635,762.1822,6.4,20.7984,
c1,single,1,equivalence,5,217.3212,0.0854,210.8621,5,217.2798,0.0062,210.9604,1,-0.0415,-0.1478,0.0648,4.0,2.1096,EQUIVALENT
c1,single,2,equivalence,5,99.7264,0.0899,95.9283,5,99.6435,0.0038,95.9611,1,-0.0829,-0.1947,0.0288,4.0,0.9596,EQUIVALENT
c1,single,3,equivalence,5,37.3598,0.0700,34.3200,5,37.2807,0.0074,34.3360,1,-0.0791,-0.1665,0.0083,4.1,0.3434,EQUIVALENT
c1,single,4,equivalence,5,11.5247,0.0658,8.9400,5,11.3930,0.0027,8.9400,1,-0.1318,-0.2135,-0.0500,4.0,0.1500,INCONCLUSIVE
c1,single,5,equivalence,5,16.9910,0.0614,14.5000,5,16.9886,0.0167,14.4960,1,-0.0023,-0.0756,0.0709,4.6,0.1500,EQUIVALENT
c1,single,6,equivalence,5,14.8617,0.0633,12.3494,5,14.8393,0.0019,12.3515,1,-0.0225,-0.1011,0.0562,4.0,0.1500,EQUIVALENT
c1,single,7,equivalence,5,125.3830,0.0999,121.5693,5,125.3350,0.0108,121.6020,1,-0.0480,-0.1727,0.0768,4.1,1.2160,EQUIVALENT
c1,single,8,equivalence,5,21.0238,0.0499,18.4013,5,20.9393,0.0095,18.4054,1,-0.0845,-0.1476,-0.0214,4.3,0.1841,EQUIVALENT
c1,single,9,equivalence,5,5.1845,0.0628,2.7008,5,5.0967,0.0093,2.7013,1,-0.0878,-0.1666,-0.0089,4.2,0.1500,INCONCLUSIVE
c1,single,10,equivalence,5,3.2358,0.0305,0.8755,5,3.2914,0.0053,0.8756,1,0.0556,0.0171,0.0941,4.2,0.1500,EQUIVALENT
c1,single,11,equivalence,5,21.9316,0.0938,19.3741,5,21.9322,0.0133,19.3761,1,0.0006,-0.1170,0.1182,4.2,0.1938,EQUIVALENT
c1,single,12,equivalence,5,58.2564,0.0704,54.3000,5,58.1537,0.0023,54.3000,1,-0.1027,-0.1902,-0.0153,4.0,0.5430,EQUIVALENT
c1,single,13,equivalence,5,15.7951,0.2154,13.2350,5,15.8879,0.0061,13.2360,1,0.0928,-0.1748,0.3604,4.0,0.1500,INCONCLUSIVE
c1,single,19,equivalence,5,193.3141,0.0725,190.1363,5,193.6753,0.0099,190.1199,1,0.3612,0.2703,0.4521,4.1,1.9012,EQUIVALENT
c1,single,20,equivalence,5,20.2521,0.0156,17.6600,5,20.1733,0.0059,17.6580,1,-0.0788,-0.0979,-0.0596,5.1,0.1766,EQUIVALENT
