run_id,tag,workload_id,repeat,group_index,n_groups,cnr,cnr_wait_cycles,status
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3ffc-r1-1788374578,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3ffc,1,0,1,1,8966,ok
c3_14q_floordiag-c3-phys5_ctrl1800p_cap1802_mask3ffc-r2-1788374579,c3_14q_floordiag,phys5_ctrl1800p_cap1802_mask3ffc,2,0,1,1,8896,ok
c3_14q_floordiag-c3-phys6_cap500-r0-1788374589,c3_14q_floordiag,phys6_cap500,0,0,1,1,14070,ok
c3_14q_floordiag-c3-phys6_cap500-r0-1788374698,c3_14q_floordiag,phys6_cap500,0,0,1,1,13599,ok
c3_14q_floordiag-c3-phys6_cap1000-r0-1788374837,c3_14q_floordiag,phys6_cap1000,0,0,1,1,1,ok
c3_14q_floordiag-c3-phys6_cap1000-r1-1788374840,c3_14q_floordiag,phys6_cap1000,1,0,1,1,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap1802-r-1-1788375291,c3_14q_physctrl3,phys5_ctrl1800p_cap1802,-1,0,1,0,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap1802-r0-1788375292,c3_14q_physctrl3,phys5_ctrl1800p_cap1802,0,0,1,0,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap1802-r1-1788375292,c3_14q_physctrl3,phys5_ctrl1800p_cap1802,1,0,1,1,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap1802-r2-1788375292,c3_14q_physctrl3,phys5_ctrl1800p_cap1802,2,0,1,0,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap902-r-1-1788375293,c3_14q_physctrl3,phys5_ctrl1800p_cap902,-1,0,1,0,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap902-r0-1788375293,c3_14q_physctrl3,phys5_ctrl1800p_cap902,0,0,1,1,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap902-r1-1788375293,c3_14q_physctrl3,phys5_ctrl1800p_cap902,1,0,1,0,1,ok
c3_14q_physctrl3-c3-phys5_ctrl1800p_cap902-r2-1788375293,c3_14q_physctrl3,phys5_ctrl1800p_cap902,2,0,1,0,1,ok
c3_14q_phys3-c3-phys5-r-1-1788375294,c3_14q_phys3,phys5,-1,0,1,0,1,ok
c3_14q_phys3-c3-phys5-r0-1788375295,c3_14q_phys3,phys5,0,0,1,0,1,ok
c3_14q_phys3-c3-phys5-r1-1788375296,c3_14q_phys3,phys5,1,0,1,0,1,ok
c3_14q_phys3-c3-phys5-r2-1788375296,c3_14q_phys3,phys5,2,0,1,0,1,ok
c3_14q_phys3-c3-phys6-r-1-1788375297,c3_14q_phys3,phys6,-1,0,1,0,1,ok
c3_14q_phys3-c3-phys6-r0-1788375300,c3_14q_phys3,phys6,0,0,1,0,1,ok
c3_14q_phys3-c3-phys6-r1-1788375303,c3_14q_phys3,phys6,1,0,1,0,1,ok
c3_14q_phys3-c3-phys6-r2-1788375306,c3_14q_phys3,phys6,2,0,1,0,1,ok
c3_14q_real3-c3-4-r-1-1788375426,c3_14q_real3,4,-1,0,1,0,0,ok
c3_14q_real3-c3-4-r0-1788375426,c3_14q_real3,4,0,0,1,0,0,ok
c3_14q_real3-c3-4-r1-1788375426,c3_14q_real3,4,1,0,1,0,0,ok
c3_14q_real3-c3-4-r2-1788375426,c3_14q_real3,4,2,0,1,0,0,ok
c3_14q_real3-c3-4-r3-1788375426,c3_14q_real3,4,3,0,1,0,0,ok
c3_14q_real3-c3-4-r4-1788375426,c3_14q_real3,4,4,0,1,0,0,ok
c3_14q_real3-c3-5-r-1-1788375426,c3_14q_real3,5,-1,0,1,0,0,ok
c3_14q_real3-c3-5-r0-1788375426,c3_14q_real3,5,0,0,1,0,0,ok
c3_14q_real3-c3-5-r1-1788375427,c3_14q_real3,5,1,0,1,0,0,ok
c3_14q_real3-c3-5-r2-1788375427,c3_14q_real3,5,2,0,1,0,0,ok
c3_14q_real3-c3-5-r3-1788375427,c3_14q_real3,5,3,0,1,0,0,ok
c3_14q_real3-c3-5-r4-1788375427,c3_14q_real3,5,4,0,1,0,0,ok
c3_14q_real3-c3-6-r-1-1788375427,c3_14q_real3,6,-1,0,1,0,0,ok
c3_14q_real3-c3-6-r0-1788375427,c3_14q_real3,6,0,0,1,0,0,ok
c3_14q_real3-c3-6-r1-1788375427,c3_14q_real3,6,1,0,1,0,0,ok
c3_14q_real3-c3-6-r2-1788375428,c3_14q_real3,6,2,0,1,0,0,ok
c3_14q_real3-c3-6-r3-1788375428,c3_14q_real3,6,3,0,1,0,0,ok
c3_14q_real3-c3-6-r4-1788375428,c3_14q_real3,6,4,0,1,0,0,ok
c3_14q_real3-c3-8-r-1-1788375428,c3_14q_real3,8,-1,0,1,0,0,ok
c3_14q_real3-c3-8-r0-1788375429,c3_14q_real3,8,0,0,1,0,0,ok
c3_14q_real3-c3-8-r1-1788375429,c3_14q_real3,8,1,0,1,0,0,ok
c3_14q_real3-c3-8-r2-1788375429,c3_14q_real3,8,2,0,1,0,0,ok
c3_14q_real3-c3-8-r3-1788375429,c3_14q_real3,8,3,0,1,0,0,ok
c3_14q_real3-c3-8-r4-1788375429,c3_14q_real3,8,4,0,1,0,0,ok
c3_14q_real3-c3-ghz8_x30-r-1-1788375430,c3_14q_real3,ghz8_x30,-1,0,1,0,1,ok
c3_14q_real3-c3-ghz8_x30-r0-1788375430,c3_14q_real3,ghz8_x30,0,0,1,0,1,ok
c3_14q_real3-c3-ghz8_x30-r1-1788375431,c3_14q_real3,ghz8_x30,1,0,1,0,1,ok
c3_14q_real3-c3-ghz8_x30-r2-1788375431,c3_14q_real3,ghz8_x30,2,0,1,0,1,ok
c3_14q_real3-c3-ghz8_x30-r3-1788375432,c3_14q_real3,ghz8_x30,3,0,1,0,1,ok
c3_14q_real3-c3-ghz8_x30-r4-1788375432,c3_14q_real3,ghz8_x30,4,0,1,0,1,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,0,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,1,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,2,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,3,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,4,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,5,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,6,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,7,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,8,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,9,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,10,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,11,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,12,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,13,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,14,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,15,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,16,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,17,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,18,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,19,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,20,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,21,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,22,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,23,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,24,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,25,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,26,28,0,0,ok
c3_14q_real3-c3-rand30_t4-r-1-1788375432,c3_14q_real3,rand30_t4,-1,27,28,0,0,ok
